Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.01.02 00:00:00,2,EURUSD,sell,0.01 / 0.01,, 1.20088,,,2018.01.02 00:00:00,,filled,,
2018.01.08 12:48:40,3,EURUSD,buy,0.01 / 0.01,, 1.20060,,,2018.01.08 12:48:40,,filled,sl 1.20060,
2018.01.08 13:00:00,4,EURUSD,sell,0.01 / 0.01,, 1.20036,,,2018.01.08 13:00:00,,filled,,
2018.01.08 18:21:40,5,EURUSD,buy,0.01 / 0.01,, 1.19803,,,2018.01.08 18:21:40,,filled,sl 1.19803,
2018.01.08 18:30:00,6,EURUSD,sell,0.01 / 0.01,, 1.19776,,,2018.01.08 18:30:00,,filled,,
2018.01.08 19:08:20,7,EURUSD,buy,0.01 / 0.01,, 1.19762,,,2018.01.08 19:08:20,,filled,sl 1.19762,
2018.01.08 19:30:00,8,EURUSD,sell,0.01 / 0.01,, 1.19724,,,2018.01.08 19:30:00,,filled,,
2018.01.09 00:00:40,9,EURUSD,buy,0.01 / 0.01,, 1.19685,,,2018.01.09 00:00:40,,filled,sl 1.19685,
2018.01.09 00:30:00,10,EURUSD,sell,0.01 / 0.01,, 1.19662,,,2018.01.09 00:30:00,,filled,,
2018.01.09 16:11:40,11,EURUSD,buy,0.01 / 0.01,, 1.19316,,,2018.01.09 16:11:40,,filled,sl 1.19316,
2018.01.09 16:30:00,12,EURUSD,sell,0.01 / 0.01,, 1.19284,,,2018.01.09 16:30:00,,filled,,
2018.01.09 17:38:40,13,EURUSD,buy,0.01 / 0.01,, 1.19277,,,2018.01.09 17:38:40,,filled,sl 1.19277,
2018.01.09 18:00:00,14,EURUSD,sell,0.01 / 0.01,, 1.19298,,,2018.01.09 18:00:00,,filled,,
2018.01.09 18:33:40,15,EURUSD,buy,0.01 / 0.01,, 1.19261,,,2018.01.09 18:33:40,,filled,sl 1.19261,
2018.01.09 19:00:00,16,EURUSD,sell,0.01 / 0.01,, 1.19212,,,2018.01.09 19:00:00,,filled,,
2018.05.07 17:04:40,17,EURUSD,buy,0.01 / 0.01,, 1.19195,,,2018.05.07 17:04:40,,filled,sl 1.19195,
2018.05.07 17:30:00,18,EURUSD,sell,0.01 / 0.01,, 1.19219,,,2018.05.07 17:30:00,,filled,,
2018.05.07 18:03:40,19,EURUSD,buy,0.01 / 0.01,, 1.19174,,,2018.05.07 18:03:40,,filled,sl 1.19174,
2018.05.07 18:30:00,20,EURUSD,sell,0.01 / 0.01,, 1.19219,,,2018.05.07 18:30:00,,filled,,
2018.05.08 10:00:40,21,EURUSD,buy,0.01 / 0.01,, 1.19201,,,2018.05.08 10:00:40,,filled,sl 1.19201,
2018.05.08 10:30:00,22,EURUSD,sell,0.01 / 0.01,, 1.19117,,,2018.05.08 10:30:00,,filled,,
2018.05.08 18:36:40,23,EURUSD,buy,0.01 / 0.01,, 1.18647,,,2018.05.08 18:36:40,,filled,sl 1.18647,
