,date_time,currency,impact,name,actual,forecast,previous
3320,2010-12-09 03:00:00,GBP,High Impact Expected,Halifax HPI m/m,-0.1,0.3,1.8
3321,2010-12-09 07:00:00,GBP,High Impact Expected,Asset Purchase Facility,200.0,200.0,200.0
3322,2010-12-09 07:00:00,GBP,High Impact Expected,Official Bank Rate,0.5,0.5,0.5
3323,2010-12-09 08:30:00,USD,High Impact Expected,Unemployment Claims,421.0,426.0,438.0
3324,2010-12-09 21:03:00,CNY,High Impact Expected,USD-Denominated Trade Balance,22.9,21.2,27.2
3325,2010-12-10 08:30:00,CAD,High Impact Expected,Trade Balance,-1.7,-2.0,-2.3
3326,2010-12-10 08:30:00,USD,High Impact Expected,Trade Balance,-38.7,-43.5,-44.6
3327,2010-12-10 09:55:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,74.2,72.4,71.6
3328,2010-12-10 21:00:00,CNY,High Impact Expected,CPI y/y,5.1,4.7,4.4
3329,2010-12-12 16:45:00,AUD,High Impact Expected,RBA Gov Stevens Speaks,0.0,0.0,0.0
3330,2010-12-13 04:30:00,GBP,High Impact Expected,PPI Input m/m,0.9,0.7,2.2
3331,2010-12-13 16:45:00,NZD,High Impact Expected,Core Retail Sales m/m,-1.6,-1.0,1.7
3332,2010-12-14 04:30:00,GBP,High Impact Expected,CPI y/y,3.3,3.1,3.2
3333,2010-12-14 05:00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,4.3,3.8,1.8
3334,2010-12-14 08:30:00,USD,High Impact Expected,Core Retail Sales m/m,1.2,0.7,0.8
3335,2010-12-14 08:30:00,USD,High Impact Expected,PPI m/m,0.8,0.6,0.4
3336,2010-12-14 08:30:00,USD,High Impact Expected,Retail Sales m/m,0.8,0.6,1.7
3337,2010-12-14 14:15:00,USD,High Impact Expected,FOMC Statement,0.0,0.0,0.0
3338,2010-12-14 14:15:00,USD,High Impact Expected,Federal Funds Rate,0.0,0.0,0.0
3339,2010-12-14 18:50:00,JPY,High Impact Expected,Tankan Manufacturing Index,5.0,4.0,8.0
3340,2010-12-15 04:30:00,GBP,High Impact Expected,Claimant Count Change,-1.2,-2.9,-5.2
3341,2010-12-15 08:30:00,USD,High Impact Expected,Core CPI m/m,0.1,0.1,0.0
3342,2010-12-15 09:00:00,USD,High Impact Expected,TIC Long-Term Purchases,27.6,82.3,77.2
3343,2010-12-15 21:00:00,NZD,High Impact Expected,ANZ Business Confidence,29.5,0.0,33.2
3344,2010-12-16 03:20:00,GBP,High Impact Expected,MPC Member Posen Speaks,0.0,0.0,0.0
3345,2010-12-16 03:30:00,CHF,High Impact Expected,Libor Rate,0.25,0.25,0.25
3346,2010-12-16 03:30:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,0.0,0.0,0.0
3347,2010-12-16 03:30:00,CHF,High Impact Expected,SNB Press Conference,0.0,0.0,0.0
3348,2010-12-16 00:00:00,EUR,High Impact Expected,EU Economic Summit,0.0,0.0,0.0
3349,2010-12-16 04:30:00,GBP,High Impact Expected,Retail Sales m/m,0.3,0.5,0.7
3350,2010-12-16 08:30:00,USD,High Impact Expected,Building Permits,0.53,0.57,0.55
3351,2010-12-16 08:30:00,USD,High Impact Expected,Unemployment Claims,420.0,421.0,423.0
3352,2010-12-16 10:00:00,USD,High Impact Expected,Philly Fed Manufacturing Index,24.3,14.8,22.5
3353,2010-12-17 04:00:00,EUR,High Impact Expected,German Ifo Business Climate,109.9,109.2,109.3
3354,2010-12-17 00:00:00,EUR,High Impact Expected,EU Economic Summit,0.0,0.0,0.0
3355,2010-12-20 19:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,0.0,0.0,0.0
3356,2010-12-20 22:55:00,JPY,High Impact Expected,Monetary Policy Statement,0.0,0.0,0.0
3357,2010-12-20 22:55:00,JPY,High Impact Expected,Overnight Call Rate,0.0,0.0,0.0
3358,2010-12-21 02:10:00,JPY,High Impact Expected,BOJ Press Conference,0.0,0.0,0.0
3359,2010-12-21 04:30:00,GBP,High Impact Expected,Public Sector Net Borrowing,22.8,16.8,8.6
3360,2010-12-21 07:00:00,CAD,High Impact Expected,Core CPI m/m,0.0,0.2,0.4
3361,2010-12-21 08:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.9,0.8,0.2
3362,2010-12-21 16:45:00,NZD,High Impact Expected,Current Account,-1.77,-2.27,-0.99
3363,2010-12-22 04:30:00,GBP,High Impact Expected,Current Account,-9.6,-8.1,-5.2
3364,2010-12-22 04:30:00,GBP,High Impact Expected,MPC Asset Purchase Facility Votes,1.0,1.0,1.0
3365,2010-12-22 04:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,1.0,1.0,1.0
3366,2010-12-22 10:00:00,USD,High Impact Expected,Existing Home Sales,4.68,4.72,4.43
3367,2010-12-22 16:45:00,NZD,High Impact Expected,GDP q/q,-0.2,0.1,0.1
3368,2010-12-23 08:30:00,CAD,High Impact Expected,GDP m/m,0.2,0.3,-0.1
3369,2010-12-23 08:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,2.4,1.7,-1.9
3370,2010-12-23 08:30:00,USD,High Impact Expected,Unemployment Claims,420.0,421.0,423.0
3371,2010-12-23 10:00:00,USD,High Impact Expected,New Home Sales,290.0,301.0,275.0
3372,2010-12-28 10:00:00,USD,High Impact Expected,CB Consumer Confidence,52.5,56.2,54.3
3373,2010-12-29 05:30:00,CHF,High Impact Expected,KOF Economic Barometer,2.1,2.07,2.13
3374,2010-12-30 08:30:00,USD,High Impact Expected,Unemployment Claims,388.0,416.0,422.0
3375,2010-12-30 10:00:00,USD,High Impact Expected,Pending Home Sales m/m,3.5,1.8,10.1
3376,2010-12-31 02:00:00,GBP,High Impact Expected,Nationwide HPI m/m,0.4,-0.2,-0.3
3377,2010-12-31 20:00:00,CNY,High Impact Expected,Manufacturing PMI,53.9,55.7,55.2
3378,2011-01-03 10:00:00,USD,High Impact Expected,ISM Manufacturing PMI,57.0,57.0,56.6
3379,2011-01-04 04:30:00,GBP,High Impact Expected,Manufacturing PMI,58.3,57.3,57.5
3380,2011-01-04 14:00:00,USD,High Impact Expected,FOMC Meeting Minutes,0.0,0.0,0.0
3381,2011-01-05 08:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,297.0,101.0,92.0
3382,2011-01-05 10:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,57.1,55.6,55.0
3383,2011-01-05 19:30:00,AUD,High Impact Expected,Building Approvals m/m,-4.2,-3.6,8.3
