date_time,deal,symbol,order_type,direction,volume,price,take_profit,stop_loss,order_num,commission,swap,profit,balance,comment
2018-01-02 00:00:00,2,EURUSD,sell,in,0.01,1.20088,,,2,0.0,0.0,0.0,5000.0,
2018-01-08 12:48:40,3,EURUSD,buy,out,0.01,1.2006,,,3,0.0,-0.06,0.28,5000.22,sl 1.20060
2018-01-08 13:00:00,4,EURUSD,sell,in,0.01,1.20036,,,4,0.0,0.0,0.0,5000.22,
2018-01-08 18:21:40,5,EURUSD,buy,out,0.01,1.19803,,,5,0.0,0.0,2.33,5002.55,sl 1.19803
2018-01-08 18:30:00,6,EURUSD,sell,in,0.01,1.19776,,,6,0.0,0.0,0.0,5002.55,
2018-01-08 19:08:20,7,EURUSD,buy,out,0.01,1.1976200000000001,,,7,0.0,0.0,0.14,5002.69,sl 1.19762
2018-01-08 19:30:00,8,EURUSD,sell,in,0.01,1.1972399999999999,,,8,0.0,0.0,0.0,5002.69,
2018-01-09 00:00:40,9,EURUSD,buy,out,0.01,1.19685,,,9,0.0,-0.01,0.39,5003.07,sl 1.19685
2018-01-09 00:30:00,10,EURUSD,sell,in,0.01,1.19662,,,10,0.0,0.0,0.0,5003.07,
2018-01-09 16:11:40,11,EURUSD,buy,out,0.01,1.19316,,,11,0.0,0.0,3.46,5006.53,sl 1.19316
2018-01-09 16:30:00,12,EURUSD,sell,in,0.01,1.19284,,,12,0.0,0.0,0.0,5006.53,
2018-01-09 17:38:40,13,EURUSD,buy,out,0.01,1.19277,,,13,0.0,0.0,0.07,5006.6,sl 1.19277
2018-01-09 18:00:00,14,EURUSD,sell,in,0.01,1.19298,,,14,0.0,0.0,0.0,5006.6,
2018-01-09 18:33:40,15,EURUSD,buy,out,0.01,1.19261,,,15,0.0,0.0,0.37,5006.97,sl 1.19261
2018-01-09 19:00:00,16,EURUSD,sell,in,0.01,1.19212,,,16,0.0,0.0,0.0,5006.97,
2018-05-07 17:04:40,17,EURUSD,buy,out,0.01,1.19195,,,17,0.0,-1.18,0.17,5005.96,sl 1.19195
2018-05-07 17:30:00,18,EURUSD,sell,in,0.01,1.1921899999999999,,,18,0.0,0.0,0.0,5005.96,
2018-05-07 18:03:40,19,EURUSD,buy,out,0.01,1.19174,,,19,0.0,0.0,0.45,5006.41,sl 1.19174
2018-05-07 18:30:00,20,EURUSD,sell,in,0.01,1.1921899999999999,,,20,0.0,0.0,0.0,5006.41,
2018-05-08 10:00:40,21,EURUSD,buy,out,0.01,1.19201,,,21,0.0,-0.01,0.18,5006.58,sl 1.19201
